VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 1,Melanie Fiona</b><br/>Monday Morning</a>,W 10 | P 1,1,03.01.2010
VW 2,Rihanna</b><br/>Russian Roulette</a>,W 6 | P 2,2,03.01.2010
VW 3,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 10 | P 3,3,03.01.2010
VW 10,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 14 | P 4,4,03.01.2010
VW 7,OneRepublic</b><br/>All The Right Moves</a>,W 9 | P 2,5,03.01.2010
VW 4,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 24 | P 1,6,03.01.2010
VW 11,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 21 | P 2,7,03.01.2010
neu,Ke$ha</b><br/>TiK ToK</a>,W 1 | P 8,8,03.01.2010
VW 15,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 4 | P 5,9,03.01.2010
VW 8,Robbie Williams</b><br/>Bodies</a>,W 10 | P 1,10,03.01.2010
VW 5,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 2 | P 5,11,03.01.2010
VW 9,Lady Gaga</b><br/>Paparazzi</a>,W 17 | P 4,12,03.01.2010
VW 13,Leona Lewis</b><br/>Happy</a>,W 6 | P 4,13,03.01.2010
VW 20,Wham!</b><br/>Last Christmas</a>,W 44 | P 6,14,03.01.2010
VW 12,Gossip</b><br/>Heavy Cross</a>,W 28 | P 2,15,03.01.2010
VW 21,Culcha Candela</b><br/>Monsta</a>,W 4 | P 16,16,03.01.2010
VW 6,Ich + Ich</b><br/>Pflaster</a>,W 5 | P 6,17,03.01.2010
VW 33,Mariah Carey</b><br/>All I Want For Christmas Is You</a>,W 12 | P 18,18,03.01.2010
VW 22,Paloma Faith</b><br/>New York</a>,W 6 | P 19,19,03.01.2010
VW 23,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 3 | P 20,20,03.01.2010
VW 14,Agnes</b><br/>Release Me</a>,W 17 | P 5,21,03.01.2010
VW 29,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 21 | P 2,22,03.01.2010
VW 31,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 2 | P 23,23,03.01.2010
VW 44,Lady Gaga</b><br/>Bad Romance</a>,W 7 | P 9,24,03.01.2010
VW 16,Stress</b><br/>Si loin</a>,W 4 | P 16,25,03.01.2010
neu,Some &amp; Any</b><br/>Last Man Standing</a>,W 1 | P 26,26,03.01.2010
VW 28,OneRepublic</b><br/>Secrets</a>,W 5 | P 27,27,03.01.2010
VW 19,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 34 | P 1,28,03.01.2010
neu,Keri Hilson</b><br/>I Like</a>,W 1 | P 29,29,03.01.2010
VW 27,Britney Spears</b><br/>3</a>,W 6 | P 8,30,03.01.2010
VW 25,P!nk</b><br/>Funhouse</a>,W 11 | P 8,31,03.01.2010
VW 36,Lady Gaga</b><br/>Poker Face</a>,W 51 | P 1,32,03.01.2010
VW 35,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 52 | P 1,33,03.01.2010
VW 18,Cascada</b><br/>Evacuate The Dancefloor</a>,W 23 | P 7,34,03.01.2010
VW 26,Muse</b><br/>Uprising</a>,W 19 | P 8,35,03.01.2010
VW 34,Pitbull</b><br/>Hotel Room Service</a>,W 16 | P 11,36,03.01.2010
VW 17,Shakira</b><br/>She Wolf</a>,W 16 | P 3,37,03.01.2010
VW 45,Bligg</b><br/>Rosalie</a>,W 61 | P 5,38,03.01.2010
VW 42,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 36 | P 4,39,03.01.2010
VW 47,Owl City</b><br/>Fireflies</a>,W 2 | P 40,40,03.01.2010
VW 24,Milow</b><br/>You Don't Know</a>,W 22 | P 8,41,03.01.2010
VW 38,Melanie Fiona</b><br/>Give It To Me Right</a>,W 24 | P 5,42,03.01.2010
