Artist,Title,Week(s) in Charts,Peak,Week
Ćelo & Abdï / Olexesh,Hinsetzen anschnallen,1,89,2020-09-13
will.i.am feat. Miley Cyrus,Fall Down,1,59,2013-05-05
will.i.am feat. Justin Bieber,#thatPOWER,17,23,2013-08-11
will.i.am feat. Jennifer Lopez & Mick Jagger,T.H.E (The Hardest Ever),2,41,2012-02-26
will.i.am feat. Eva Simons,This Is Love,19,8,2012-11-25
will.i.am & Britney Spears,Scream &amp; Shout,43,1,2014-01-12
maNga,We Could Be The Same,1,56,2010-06-13
k.d. lang,Hallelujah,2,21,2010-03-07
daFOO feat. @omic Kidz,You Lift Me Up,1,74,2017-04-09
daFOO,40 Days,1,59,2017-12-03
atb x Topic x A7S,Your Love (9PM),15,6,2021-05-02
Züri West,Schachtar gäge Gent,2,62,2017-04-02
Züri West,Güggu,6,42,2010-05-23
Züri West,Göteborg,4,31,2012-04-22
Züri West,Goalie,2,55,2014-02-16
ZweiLand,Komm wir heben ab,1,64,2017-07-23
Zuna feat. Nash,Original,2,43,2017-04-30
Zuna feat. Miami Yacine,Cazal,1,67,2017-02-26
Zuna feat. Azet & Noizy,Nummer 1,8,25,2017-05-07
Zuna,Nshallah,1,67,2020-12-20
Zuna,Guck Mama 2,1,91,2021-01-24
Zuna,Du hast recht,1,58,2021-01-17
Zuna,Benzema,1,61,2020-06-14
Zuna,Baby,1,61,2017-04-23
Zuna,Ayé,1,56,2018-03-11
Zuna,1 Stunde,2,21,2020-12-13
Zucchero Sugar Fornaciari,Vedo nero,1,71,2011-07-24
Zucchero,È un peccato morir,4,41,2011-01-23
Zola feat. Sch,9 1 1 3,1,51,2020-11-29
Zola feat. Ninho,Papers,1,56,2019-04-14
Zola feat. Leto,Ma jolie,1,95,2020-11-29
Zola,Wow,1,52,2020-07-26
Zola,Papillon,1,81,2020-11-29
Zola,Fuckboi,1,89,2019-04-14
Zola,Bro Bro,1,51,2020-05-17
Zola,Baby Boy,1,96,2019-04-14
Zoe Wees,Girls Like Us,15,3,2021-05-02
Zoe Wees,Control,49,11,2021-04-25
Zian,Show You,16,26,2021-05-02
ZiBBZ,Stones,1,62,2018-02-11
Zhu,Faded,17,49,2015-03-01
Zedd feat. Selena Gomez,I Want You To Know,18,48,2015-07-05
Zedd feat. Hayley Williams,Stay The Night,5,56,2014-03-02
Zedd / Maren Morris / Grey,The Middle,26,27,2018-07-29
Zedd & Liam Payne,Get Low,2,54,2017-07-23
Zedd & Katy Perry,365,2,59,2019-03-03
Zedd & Elley Duhé,Happy Now,9,73,2018-09-23
Zedd & Alessia Cara,Stay,26,16,2017-08-27
Zaz,Si jamais j'oublie,1,43,2015-11-08
Zaz,On ira,17,15,2013-08-18
Zaz,Je veux,30,23,2013-08-04
Zayn feat. Sia,Dusk Till Dawn,35,1,2018-05-20
Zayn feat. PartyNextDoor,Still Got Time,4,34,2017-04-30
Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),30,2,2017-07-09
Zayn,Pillowtalk,21,15,2016-06-26
Zayn,Like I Would,6,48,2016-04-24
Zayn,Let Me,1,47,2018-04-22
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),6,67,2016-12-04
Zara Larsson feat. Ty Dolla $ign,So Good,1,89,2017-02-05
Zara Larsson & MNEK,Never Forget You,35,32,2016-07-31
Zara Larsson,Uncover,30,8,2015-11-22
Zara Larsson,Ruin My Life,8,71,2019-01-27
Zara Larsson,Lush Life,48,3,2016-10-09
Zara Larsson,I Would Like,12,55,2017-02-19
Zara Larsson,Ain't My Fault,15,43,2016-12-18
Zala Kralj & Gaper antl,Sebi,1,77,2019-05-26
Zaho,Tourner la page,2,62,2013-05-19
Zach Sobiech,Clouds,1,73,2013-12-08
Zac Efron & Zendaya,Rewrite The Stars,1,96,2018-02-04
Yvonne Catterfeld feat. Bengio,Irgendwas,1,41,2016-12-25
Yvonne Catterfeld,Lieber so,2,44,2015-05-31
Yvonne Catterfeld,Hey,3,29,2015-07-12
Yves Larock & Bastian Baker,Here We Go,1,50,2020-03-15
Yung Hurn,Nichts mehr fühlen,1,74,2020-11-15
Yung Hurn,Cabrio,1,49,2019-06-30
Youssoupha feat. Indila & Skalpovitch,Dreamin',2,65,2012-07-22
Youssoupha feat. Ayna,On se connaît,6,61,2013-05-05
Younotus & Janieck & Senex,Narcotic,23,18,2020-01-05
Young Thug| 2 Chainz| Wiz Khalifa & PnB Rock,Gang Up,1,72,2017-04-23
Young Thug feat. J. Cole & Travis Scott,The London,21,20,2019-10-20
Young Thug feat. Gunna,Hot,4,28,2019-12-01
Young T & Bugsey feat. Headie One,Don't Rush,15,37,2020-08-02
Young Stoner Life / Young Thug / Gunna feat. Travis Scott,Diamonds Dancing,1,92,2021-04-25
Young Stoner Life / Young Thug / Gunna feat. Drake,Solid,2,38,2021-05-02
You+Me,You And Me,1,64,2014-10-19
Yolanda Be Cool & DCup,We No Speak Americano,41,1,2011-05-15
Ylvis,The Fox,13,45,2014-01-19
Yiruma,River Flows In You,9,41,2013-12-08
Years & Years,Shine,10,41,2015-10-25
Years & Years,King,26,9,2015-09-13
Yasha,Strand,1,73,2013-08-11
Yannick Noah,Angela,3,71,2010-09-19
Yann Tiersen,Comptine d'un autre été: L'après-midi,4,34,2013-07-21
Yall feat. Gabriela Richardson,Hundred Miles,20,13,2016-05-29
YNW Melly,Suicidal,10,75,2020-04-12
YG feat. Tyga & Jon Z,Go Loko,15,36,2019-08-25
Y2K & bbno$,Lalala,22,26,2019-12-08
Y-Titty,Halt dein Maul,3,9,2013-09-08
Y-Titty,Fest der Liebe,1,53,2012-12-16
Y-Titty,Der letzte Sommer,1,34,2012-08-19
Xen,Meh welle,1,71,2019-06-16
Xen,Lieblingsrapper,1,87,2019-08-18
Xavier Naidoo,Mitten unterm Jahr,2,34,2015-06-21
Xavier Naidoo,Ich danke allen Menschen,2,18,2019-05-05
Xavier Naidoo,Hört| hört,2,48,2014-06-15
Xavier Naidoo,Hallelujah (Live),2,36,2014-12-28
Xavier Naidoo,Du bist das Licht,2,52,2014-06-15
Xavier Naidoo,Dieser Weg,67,3,2012-03-04
Xavier Naidoo,Der letzte Blick,1,70,2013-06-16
Xavier Naidoo,Bitte hör nicht auf zu träumen [Live],2,49,2010-11-28
Xavier Naidoo,Bei meiner Seele,12,23,2014-06-08
Xavier Naidoo,Amoi seg' ma uns wieder,7,5,2014-06-29
Xavier Naidoo,Alles kann besser werden,28,28,2012-02-26
Xavas,Wage es zu glauben,3,37,2013-01-27
Xavas,Schau nicht mehr zurück,22,3,2013-02-17
Xatar feat. Bonez MC| Gzuz| Almany,Die Straße lebt,1,94,2021-02-21
Xatar feat. Azet,Balla,1,27,2018-07-01
Xatar,Ohne Reden,1,68,2020-10-18
XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,20,5,2019-03-17
XXXTentacion feat. Trippie Redd,Fuck Love,4,48,2018-07-08
XXXTentacion,Whoa (Mind In Awe),1,44,2018-12-16
XXXTentacion,The Remedy For A Broken Heart (Why Am I So In Love),4,36,2018-07-15
XXXTentacion,Sad!,40,4,2019-02-10
XXXTentacion,Moonlight,37,11,2019-02-10
XXXTentacion,Look At Me!,4,50,2018-07-15
XXXTentacion,Jocelyn Flores,13,21,2018-07-22
XXXTentacion,Hope,1,99,2018-07-01
XXXTentacion,Everybody Dies In Their Nightmares,3,54,2018-07-01
XXXTentacion,Changes,17,9,2018-09-16
XXXTentacion,Bad!,4,29,2018-12-16
XEN feat. EAZ & Liba,Down mit de Clique,1,85,2017-12-03
XEN & EAZ,Kei Zit,2,2,2015-12-13
XEN,OG Kush,1,70,2017-12-03
XEN,Cash mit de Gang,2,56,2017-12-03
X Ambassadors,Renegades,32,2,2016-05-15
Woodkid,Run Boy Run,2,60,2013-11-03
Wizkid feat. Drake,Come Closer,1,98,2017-04-16
Wiz Khalifa feat. Charlie Puth,See You Again,50,1,2016-03-20
Wiz Khalifa feat. 2 Chainz,We Own It (Fast &amp; Furious 6),12,3,2013-10-20
Wiz Khalifa & Iggy Azalea,Go Hard Or Go Home,2,55,2015-04-19
Wiz Khalifa,Black And Yellow,28,44,2011-10-09
Within Temptation feat. Tarja,Paradise (What About Us?),1,64,2013-10-13
Wisin| Jhay Cortez| Los Legendarios,Fiel,2,81,2021-05-02
Wisin feat. Jennifer Lopez & Ricky Martin,Adrenalina,2,57,2014-03-23
Wirtz,Wenn sie diesen Tango hört,3,21,2015-07-12
Wintershome,White Lines,1,48,2018-12-16
Winona Oak & Robin Schulz,Oxygen,1,81,2020-06-07
Wincent Weiss,Wer wenn nicht wir,8,54,2021-05-02
Wincent Weiss,Musik sein,22,10,2017-04-30
Wincent Weiss,Kaum erwarten,1,87,2019-03-31
Wincent Weiss,Hier mit dir,6,45,2019-05-19
Wincent Weiss,Feuerwerk,18,28,2017-07-16
Wincent Weiss,Einmal im Leben,1,37,2019-09-29
Wincent Weiss,An Wunder,18,7,2018-09-09
Willy William,Ego,1,75,2016-03-27
William White,For Your Love,1,68,2014-03-16
Whitney Houston,Saving All My Love For You,16,5,2012-02-26
Whitney Houston,One Moment In Time,23,4,2012-03-04
Whitney Houston,My Love Is Your Love,36,2,2012-02-26
Whitney Houston,I Will Always Love You,34,1,2012-03-25
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),19,1,2012-03-04
Whitney Houston,I Look To You,14,16,2012-02-26
Whitney Houston,I Have Nothing,3,39,2012-02-26
Whitney Houston,Greatest Love Of All,5,20,2012-02-26
Whiteside,Till The Night Is Over,1,72,2013-04-28
White Apple Tree,Snowflakes,9,32,2013-12-01
Wham!,Last Christmas,96,3,2021-01-03
Westlife,You Raise Me Up,26,18,2011-10-30
Welshly Arms,Sanctuary,11,50,2018-08-05
Welshly Arms,Legendary,32,28,2017-11-26
Wejdene,Je t'aime de ouf,1,75,2021-04-11
Wejdene,Coco,1,81,2020-08-30
Wejdene,Anissa,4,73,2020-07-12
Waylon Jennings,Dreaming My Dreams With You,1,59,2014-05-11
Wax [US Rap],Rosana,22,7,2013-09-08
Wankelmut & Emma Louise,My Head Is A Jungle,9,35,2013-07-07
Wanda,Bologna,1,67,2015-05-10
Walking On Cars,Speeding Cars,26,18,2016-11-13
Walk The Moon,Shut Up + Dance,27,20,2016-01-10
Walk Off The Earth,Somebody That I Used To Know,4,54,2012-04-08
W&W,Bigfoot,1,61,2014-04-06
VoXXclub,Rock mi,1,73,2014-10-05
Vize x Tokio Hotel,White Lies,11,28,2021-05-02
Vize x Joker Bra x Leony,Paradise,1,98,2020-11-08
Vize & Tom Gregory,Never Let Me Down,37,12,2021-02-14
Vivien,Wir schweben davon,2,21,2015-07-26
Vivien,So wie ich bin,1,21,2015-10-11
Viviana Grisafi,Hero Of My Heart,1,35,2015-05-24
Vitaa & Slimane,Avant toi,17,45,2020-06-21
Victor Crone,Storm,1,91,2019-05-26
Vicetone & Tony Igy,Astronomia,9,36,2020-06-07
Vianney,Je m'en vais,15,48,2017-05-14
Veysel x Jamule,Bobby.,1,50,2021-04-18
Veysel feat. Summer Cem,Sag schon,2,41,2018-12-09
Veysel feat. Luciano,Yakuza,1,79,2017-09-24
Veysel feat. Gzuz,UFF,5,7,2018-10-28
Veysel & Mozzik,Ti amo,9,10,2018-03-25
Veysel & Jugglerz,Normal,1,59,2019-10-27
Veysel,TGV,1,79,2018-11-11
Veysel,Sorry,2,34,2019-12-15
Veysel,Pelican Fly,1,91,2021-01-31
Veysel,Ohne dich,1,84,2020-11-29
Veysel,Ma vie,1,67,2020-08-30
Veysel,Kleiner Cabrón,5,71,2017-11-12
Veysel,Habibo,6,27,2018-08-12
Veysel,Fuego,1,78,2018-08-26
Veysel,Bin da,1,62,2020-02-16
Velile & Safri Duo,Helele,18,1,2010-10-10
Vegedream feat. Ninho,Elle est bonne sa mère,1,100,2019-06-09
